,location,Price,total_sqft,Bedrooms,Bathrooms
0,"General Mathenge, Westlands",155000.0,4.0,4.0,4.0
1,"Kilimani, Dagoretti North",100000.0,300.0,3.0,4.0
2,other,75000.0,3.0,3.0,5.0
3,"Kilimani, Dagoretti North",135000.0,227.0,3.0,4.0
4,other,50000.0,3.0,3.0,2.0
5,"Waiyaki Way, Westlands",150000.0,2.0,2.0,2.0
6,other,100000.0,14.0,2.0,3.0
7,"Westlands Area, Westlands",100000.0,186.0,3.0,3.0
8,other,85000.0,4.0,4.0,2.0
9,"Kilimani, Dagoretti North",65000.0,2.0,2.0,2.0
10,other,95000.0,2.0,2.0,2.0
11,other,75000.0,3.0,3.0,3.0
12,"Kileleshwa, Dagoretti North",65000.0,3.0,3.0,2.0
13,"Riverside, Westlands",85000.0,1.0,1.0,1.0
14,"Riverside Drive, Riverside, Westlands",220000.0,3.0,3.0,3.0
15,"Parklands, Westlands",120000.0,3.0,3.0,3.0
16,"Waiyaki Way, Westlands",50000.0,0.0,0.0,1.0
17,other,85000.0,2.0,2.0,2.0
18,other,12000.0,90.0,1.0,1.0
19,other,13000.0,0.0,0.0,2.0
20,other,13000.0,2.0,2.0,1.0
21,"Ruaka, Kiambaa",13000.0,0.0,0.0,1.0
22,other,13000.0,1.0,1.0,1.0
23,other,14000.0,2.0,2.0,1.0
24,"Ruaka, Kiambaa",15000.0,2.0,2.0,1.0
25,other,15000.0,45.0,1.0,1.0
26,"Kiambu Road, Kiambu Road",15000.0,0.0,0.0,1.0
27,other,15000.0,2.0,2.0,1.0
28,other,16000.0,2.0,2.0,2.0
29,other,16000.0,1.0,1.0,1.0
30,other,16000.0,2.0,2.0,1.0
31,other,16000.0,1.0,1.0,1.0
32,other,16000.0,1.0,1.0,1.0
33,other,98000.0,3.0,3.0,3.0
34,"General Mathenge, Westlands",200000.0,3.0,3.0,3.0
35,other,16000.0,1.0,1.0,1.0
36,"Ruaka, Kiambaa",16000.0,1.0,1.0,2.0
37,other,17000.0,1.0,1.0,2.0
38,other,17000.0,1.0,1.0,1.0
39,other,17000.0,2.0,2.0,2.0
40,"Ruaka, Kiambaa",17000.0,2.0,2.0,2.0
41,other,17000.0,2.0,2.0,2.0
42,other,17500.0,1.0,1.0,2.0
43,other,18000.0,2.0,2.0,2.0
44,other,18000.0,1.0,1.0,1.0
45,other,18000.0,1.0,1.0,1.0
46,other,19000.0,180.0,1.0,1.0
47,other,20000.0,1.0,1.0,2.0
48,other,20000.0,2023.0,1.0,1.0
49,other,20000.0,2.0,2.0,2.0
50,"Kilimani, Dagoretti North",70000.0,2.0,2.0,2.0
51,other,75000.0,125.0,2.0,2.0
